STRATA,CONTENT
陆良组,陆良组，上部为灰-灰紫色岩屑砂岩夹灰、灰绿色泥质粉砂岩及泥岩。陆良组年代Z1陆良组命名刘鸿允等，1983年命名。陆良组特征下部灰-灰白色含砾岩屑砂岩及泥质粉砂岩、硅质粉砂岩，夹灰紫色粉砂质泥岩及多层凝灰岩。产微古植物。不整合覆于昆阳群之上；顶与牛头山组整合接触。厚1392米。[1] 
明月组,时代：Nh命名：四川区域地层表编写组，1978年命名。特征：为灰绿，紫红等色中厚-块状凝灰质砾岩，砾石成分复杂。与下伏代安河组，上覆八子坪组均为整合或平行不整合接触。厚930-1500米。[1] 
南沱组,"南沱组（Nh2n），是以组为岩石地层单位的地层结构。原称“南沱冰碛层”，属南华系上统，分布于中国康滇古陆两侧。本组为冰川泥砾堆积，由灰绿色、紫红色泥砂胶结的砾石组成，不显层理。厚60—110米，与下伏莲沱群呈微不整合关系。南沱组命名威理士(B.Willis)1907年命名。命名剖面位于湖北宜昌三斗坪镇南沱一带长江沿岸，参考剖面位于宜昌县莲沱镇王丰岗。南沱组沿革1907年威理士命名“南沱冰碛岩”。1924年李四光、赵亚曾建立南沱组，包括下部“南沱粗砂岩”和上部“南沱冰碛层”。1963年刘鸿允、沙庆安将“南沱组”一名限用于“南沱冰碛层”范畴，沿用至今。南沱组特征南沱组构成主要为巨块状冰碛泥砾岩，总体绿灰色，少数为紫红色。砾石大小不一，分选性差，形状多样，成分复杂，常见砾石上有擦痕或钉字形凹坑。上部夹薄层砂岩透镜体；顶部可见层理明显的粘土质砂岩和砂质粘土岩，常含零星小砾。厚度由数十米至百米左右。产微古植物：Leiopsophosphaera densa, L. Leguminiformis, Trachysphaeridium sp., Trematosphaeridium holtedahlii, T. Minutum, Taeniatum crassum, Laminarites antiquissimus等。南沱组为南沱冰期的堆积物，后期冰川开始消融，局部呈现冰水沉积特征，可见纹泥层、坠石等。张惠民等（1982）测得其古纬度为19 。南沱组接触关系在莲沱王丰岗，该组底部以一层灰绿色块状泥砂质砾岩与下伏莲沱组顶部之灰绿色和紫红色凝灰质粉砂岩、粉砂质泥岩和凝灰质细砂岩互层接触，顶部以黄绿色含砾砂质粘土岩与上覆陡山沱组底部之灰白色硅质白云岩分界。与下伏莲沱组或大塘坡组假整合接触。南沱组分布此组广布于扬子地层分区和江南地层分区的范围。南沱组备考撰者：邢裕盛作者1：李四光年份1：1924作者2：赵亚曾年份2：1924作者3：Willis, B.年份3：1907系名：新元古界 [1] "
牛头山组,"牛头山组以灰绿、黄绿色为主，下部夹以灰紫、棕红色为主的泥岩、粉砂岩互层，夹有较多的硅质岩、流纹质凝灰岩、细粒长石砂岩。底与澄江组整合接触，顶与南沱组冰碛岩不整合接触。牛头山组基本信息地层名称：牛头山组地层名称（英文）：Niutoushan Fm地层单位编码：06-53-1322地层地质年代：Z1牛头山组命名刘鸿允、刘钰,1963年。牛头山组特征层型：选层型 云南会泽县驾车湾白屋基震旦系实测剖面。云南二区测队,1978,1∶20万曲靖幅区调报告。特征：分布：云南陆良、会泽县。[1] "
平袍组,平袍组命名：贵州地层古生物工作队地层组，1978年。为一套冰碛砾岩。为灰绿色，浅紫江色块状无细层理冰积砾岩。特征：为一套冰碛砾岩。为灰绿色，浅紫江色块状无细层理冰积砾岩，下部夹含砾板岩，砾石次棱角状，大小混杂，排列无序，粘土质胶结，砾石表面具擦痕，磨光面。整合于下伏板溪群与上覆富禄组间。厚343米。同物异名：长安组，江口组。[1] 
恰克马克力克组,
赛伊阔组,赛伊阔组基本信息中文名称：赛伊阔组赛伊阔组特征由灰-深灰色厚层-块状变质含砾砂岩，砾岩（含大量火山岩砾石），长石岩屑杂砂岩，长石石英砂岩夹粉砂岩及粉砂质板岩组成。整合伏于相龙卡组之下；未见底。[1] 
沙坝黄组,为一套含火山质之中粗碎屑岩建造，以发育砾质岩层为特征。主体岩性为变余砾岩、砂砾岩、含砾凝灰质砂岩、不等粒杂砂岩，夹千枚岩、板岩和变沉凝灰岩。砂岩粒级层理发育。含微古植物等化石。整合于下伏上施组与上覆坝里组之间。层型剖面厚281米；区域厚110-714米以上。下何元寨组、寨子下组。
烧火筒沟组,烧火筒沟组，是以组为岩石地层单位的地层结构，赵祥生等1980年命名。岩性主要是灰绿色紫灰泥砾岩、含砾千枚岩板岩，局部夹含砾细砂岩和砂质白云岩等，厚800m。本组底部以灰色冰积砾岩与下伏地层墩子沟群不整合接触，顶部2m以灰绿色粉砂质板岩与上覆草大坂组假整合接触。主要分布于甘肃永昌县韩母山、红崖山、青石山及内蒙古自治区阿拉善右旗烧火筒沟及马房子沟一带。呈断续出露。烧火筒沟组命名：赵祥生等1980年命名，命名剖面位于内蒙古阿拉善右旗烧火筒沟。[1] 烧火筒沟组沿革：郭宗山（1948）最早在该区发现震旦纪地层。进一步研究始于1960年，甘肃区调队发现含叠层石浅变质的震旦纪地层与下伏的古老的深变质岩为不整合关系，分别称为韩母山组和墩子沟组，时代改为晚震旦世，同时指出下部含砾千枚岩等代表冰川沉积，但未进行命名。甘肃地层表编写组认为区内只有上震旦统，提出韩母山群一名，并根据地层的发育特点，分出上、下亚群。赵祥生等（1977—1980）将韩母山群下部的含砾千枚岩等属冰碛岩的组合命名为烧火筒沟群，将上部含磷的层位划归下寒武统，称韩母山群，但其含义仅指原名称的上部。甘肃地质力学区调队（1979—1981）将原韩母山群对比为震旦系，并且划分上、下两部分：上部取名为草大坂组；下部沿用烧火筒沟组。烧火筒沟组特征：烧火筒沟组层型正层型 内蒙古阿右旗烧火筒沟剖面。烧火筒沟组构成本组底部为黄绿色冰碛岩（杂砾岩），中上部为含砾千枚岩、粉砂质千枚岩或绢云千枚岩。该组岩性主要是灰绿色紫灰泥砾岩、含砾千枚岩板岩，局部夹含砾细砂岩和砂质白云岩等，厚800m。烧火筒沟组接触关系组底部以灰色冰积砾岩与下伏地层墩子沟群不整合接触，顶部2m以灰绿色粉砂质板岩与上覆草大坂组假整合接触。[1] 烧火筒沟组分布本组主要分布于甘肃永昌县韩母山、红崖山、青石山及内蒙古自治区阿拉善右旗烧火筒沟及马房子沟一带。呈断续出露。[1] 烧火筒沟组备考近年也有一些研究者（如李文渊1991等）认为本组砾状白云岩可能反映了一种海相碳酸岩质碎屑流的沉积，而非冰川作用产物。撰者：高林志、高振家、范国琳作者1：赵祥生年份1：1980作者2：郭宗山年份2：1948系名： 新元古界
泗洲山组,为一套灰紫色板岩、砂质板岩夹含砾板岩及少量白云岩泗洲山组基本信息中文名称：泗洲山组时代：Z1泗洲山组命名湖南区域地质调查大队，1982年命名。泗洲山组特征为一套灰紫色板岩、砂质板岩夹含砾板岩及少量白云岩，整合覆于大江边组之上、伏于天子地组之下。厚551米。[1] 
苏家湾(岩)组,
苏雄组,苏雄组，是以组为岩石地层单位的地层结构。四川省地质局第一区测队1965年命名。该组由陆相基性—酸性火山岩及火山碎屑岩组成。该组与下伏峨边群不整合接触，上部英安斑岩全岩Rb-Sr法年龄812Ma。主要分布于四川大相岭、小相岭及甘洛、峨边等地，宝兴以南及二郎山一带亦有零星出露。苏雄组命名四川省地质局第一区测队1965年命名。1971年1∶20万马边幅区域地质调查报告引用。命名剖面位于四川省甘洛县苏雄。[1] 苏雄组特征苏雄组层型正层型 四川甘洛县苏雄—凉红下震旦统剖面。苏雄组构成该组由陆相基性—酸性火山岩及火山碎屑岩组成。下部主要为灰绿色凝灰岩，夹少量玄武岩及英安岩；中部以中酸性至酸性熔岩为主；上部主要为凝灰质砂岩、层凝灰岩和玄武岩，并以一层致密块状玄武岩与上覆开建桥组假整合分界。厚度变动极大，可由10m多增至6000m左右。苏雄组上部英安斑岩全岩Rb-Sr法年龄812Ma。苏雄组接触关系与下伏峨边群不整合接触。[1] 苏雄组分布该组主要分布于四川大相岭、小相岭及甘洛、峨边等地，宝兴以南及二郎山一带亦有零星出露。[1] 苏雄组备考撰者：邢裕盛作者1：四川地质局第一区测队年份1：1971系名：新元古界
特瑞爱肯组,"特瑞爱肯组，是以组为岩石地层单位的地层结构，1937年 E. Norin 命名。特瑞爱肯组以灰、深灰及灰绿色块状杂砾岩（冰碛岩）为主，局部为灰紫色。杂砾岩无层理和分选，砾石大小混杂，砾石表面普遍见有擦痕、压坑、颤痕等。本组与下伏阿勒通沟组为整合过渡，二者常表现为相变界线，以厚块状冰碛岩（杂砾岩）出现作为特瑞爱肯组底界，上部与扎摩克提组为假整合或不整合关系。特瑞爱肯组命名1937年 E. Norin 命名，命名剖面位于新疆尉犁县西库鲁克塔格特瑞爱肯沟和贝义西沟之间。主要参考剖面在中库鲁克塔格照壁山、幸格尔塔格南坡和玉勒衮布拉克等地。[1] 特瑞爱肯组沿革E. Norin所命名的特瑞爱肯组是指近年多数人所划分的贝义西组之上，扎摩克提组以下的一整套碎屑沉积，虽然原作者指出了该组中有冰碛岩存在，实际包括了冰成岩及以下的阿勒通沟碎屑沉积。经1977年高振家、朱诚顺等复查（1984年发表），将原特瑞爱肯组一分为二，仅限定以厚层块状无层理的冰碛岩（杂砾岩）为主体的上部分层，称特瑞爱肯组；而将其以下的含砾碎屑岩（砂岩、粉砂岩、泥板岩）及碎屑岩、泥板岩灰岩夹少量杂砾岩及灰岩等的下部地层单独分开并沿用阿勒通沟组。特瑞爱肯组特征特瑞爱肯组层型正层型：库鲁克塔格尉犁县特瑞爱肯沟剖面。诺林,1937年,东天山库鲁克塔格地质调查报告(英文)。[1] 特瑞爱肯组构成特瑞爱肯组以灰、深灰及灰绿色块状杂砾岩（冰碛岩）为主，局部为灰紫色。杂砾岩无层理和分选，砾石大小混杂，砾石表面普遍见有擦痕、压坑、颤痕等。上部常夹有薄层灰绿色粉砂质板岩和粉砂岩、泥板岩（纹板岩）偶夹砂岩或凝灰砂岩及白云质灰岩透镜体（一些研究者认为此白云岩是冰成岩顶部的碳酸岩帽）。沿走向块状杂砾岩（冰碛岩）常相变为具层理的薄层含砾板岩、含砾粉砂岩或砂岩。厚度变化甚大，可从440m增厚到1850m以上，常表现在短距离内厚度迅速变化，如在西库鲁克塔格特瑞爱肯及西山口等地厚度为1733m，向东到中库鲁克塔格照壁山为1845m，而向南到兴地塔格以北厚度仅约441m（此处阿勒通沟组厚度变为21.7m），更南到牙尔当山则厚617m，在特瑞爱肯组冰成岩的薄层泥板岩、粉砂岩夹层中有微古植物：Trachysphaeridium cultum，T. Hyalinum，Pseudozonosphaera asperella，P. Verrucosa等。[1] 特瑞爱肯组接触关系本组与下伏阿勒通沟组为整合过渡，二者常表现为相变界线，以厚块状冰碛岩（杂砾岩）出现作为特瑞爱肯组底界，上部与扎摩克提组为假整合或不整合关系。[1] 特瑞爱肯组分布本组分布广泛，西起库尔勒卡拉帖肯乌拉山的特瑞爱肯及其以西，向东到西山口、照壁山、幸格尔塔格、兴地塔格以北及以南的牙尔当山，并一直断续出露至东库鲁克塔格鄯善县以南的玉勒衮布拉克一带。[1] 特瑞爱肯组备考一些研究者认为本组与下伏阿勒通沟组属同一冰期的产物，仅沉积环境和形式不同，表现不同岩性特征。亦有人反对冰川成因，认为属重力流等成因。撰者：高振家作者1：E.Norin年份1：1937系名：新元古界"
天子地组,天子地组是岩石地层名称，由湘南区域地质调查大队于1982年命名。天子地组时代Nh天子地组命名湘南区域地质调查大队，1982年手稿命名；张纯臣主编，1997年介绍。天子地组特征底部为凸镜状条带状赤铁矿或硅质岩，其上为紫红色、灰绿色中层状岩屑杂砂岩、绢云板岩、条带状板岩构成大的互层。与下伏泗洲山组、上覆正园岭组皆为整合接触。厚587米。[1] 
铁船山组,铁船山组基本信息中文名称：铁船山组同物异名：刘家坪组铁船山组命名四川第二区域地质测量大队，1965年介绍。铁船山组特征岩性为灰、紫红、灰绿等色流纹质熔结角砾岩、熔结集块岩、流纹质凝灰岩及流纹岩为主，夹变质砂岩、板岩及少量安山玄武岩。含微古植物。不整合于麻窝子组之上；未见顶。出露厚度大于2000米。[1] 
铁丝坳组,铁丝坳组为一套中粒碎屑沉积，于1981年命名。铁丝坳组基本信息中文名称：铁丝坳组时代：Nh同物异名：南沱组铁丝坳组命名马国干，1981年。铁丝坳组特征岩性为浅灰、灰、深灰色中厚层含砾杂砂岩、砾质砂岩、混碛岩、砾质泥岩、杂砂岩、岩屑砂岩、粉砂质粘土岩。整合于下伏两界河组和上覆大塘坡组之间。厚24米。[1] 
听门组,听门组是岩石地层名称，属Z1时代，1997年命名。听门组命名赣东北地质大队，1977年命名；杨明桂等1988年介绍。听门组特征为红色中粗碎屑岩沉积。岩性为紫红色砾岩、砂砾岩、含砾砂岩、杂砂岩及粉砂岩，夹少量黄白色页岩、粉砂质泥岩。平行不整合覆于罗村组之上；不整合伏于休宁组之下。厚368米。[1] 
吴墩组,"吴墩组，是以组为岩石地层单位的地层结构。为一套中酸性火山复理石建造。岩性以钠长变粒岩为主，夹钠长云母石英片岩及斜长石英白云片岩、二云石英片岩组合。与下伏南山组上段及上覆龙北溪组下段均呈整合或平行不整合接触。分布于闽北一带。吴墩组命名福建省区调队1979年命名，命名剖面位于福建顺昌县东南9km吴墩村（《福建省地质志》，1985）。[1] 吴墩组沿革50年代以前，福建的震旦系未作进一步划分，闽西北的变质岩，一律称作前寒武纪或太古代—元古代。1963年福建、江西两地质局合编的1∶100万福州幅地质图说明书中，将闽西南出露于泥盆系不整合面之下一套巨厚的浅变质岩的时代划属震旦纪—志留纪，未作进一步划分。直至1970—1971年间，结合1∶20万长汀、上杭两幅图的区调，开展了闽西南地区变质岩的系统研究，将其划分为前震旦系板溪群，震旦系下统南沱组，上统陡山沱组和灯影组。1979年福建区域地层表将闽西南前寒武系浅变质岩重新建立了地方性地层名称，分为前震旦系楼子坝群，震旦系下统丁屋岭组，上统南岩组和黄连组，并认为楼子坝群可大致与闽西北的建瓯群对比。闽西北地区的前震旦系原统称建瓯群，后于该群上部吴档组之下见有假整合面，福建区域地质志中以此假整合面为界，将其下地层划归麻源群；其上划入震旦系，命名吴墩组，代表闽南地区的下震旦统。吴墩组特征吴墩组层型正层型：福建顺昌县吴墩—上凤实测剖面(重测)。龚世福等,1987,试论福建省前寒武纪地层的划分对比。[1] 吴墩组构成底部为深灰、浅灰色变质复杂成分砾岩夹薄层细砂岩及粉砂岩，砾石成分斜长变粒岩为主，次为石英岩及少量片岩等；下部为灰绿色厚层变质石英砂岩夹凝灰质粉砂岩，石英片岩及硅质岩；上部以灰绿色厚层变质中细粒杂砂岩，偶见波状层理，具浅海富陆源火山碎屑沉积特征。[1] 吴墩组接触关系与下伏麻源群不整合接触，与上覆震旦系龙北溪组平行不整合接触。总厚>2218m。　[1] 吴墩组分布闽北一带备考撰者：王自强作者1：福建省地质矿产局年份1：1985系名：新元古界"
西冲组,
下坊组,"下坊组，是以组为岩石地层单位的地层结构，江西区调队1962年命名。为灰绿、深灰、黑灰色绢云千枚岩、粉砂质千枚岩及炭质绢云千枚岩等组成，夹1—2层条带状磁铁石英岩。本组岩性变化较大，在命名剖面西侧的分宜县松古家， 本组底部有厚达数十米的深灰、棕灰色凝灰质砾岩及凝灰质含砾千枚岩（古家砾岩）。其地层接触关系为与上覆老虎塘组连续沉积，与下伏上施组假整合接触。下坊组命名江西区调队1962年命名，1964年1∶20万新余幅区域地质调查报告引用。命名剖面位于新余下坊西边坑。[1] 下坊组沿革赣中、赣南的变质岩地层过去仅称作前泥盆系或龙山系。1943年徐克勤、丁毅将其划分为汾坑系、大吉山层和万安系（潭家坝系）。1962—1963年间，江西区调队开展武功山及井岗山一带的区调中，将其划分为下震旦统上施组、下坊组及上震旦统老虎塘组，并沿用至今。下坊组特征下坊组层型正层型：新余市良山镇下坑西边坑下坊组实测剖面(1∶20万宜春幅地质图说明书)。[1] 下坊组构成命名剖面处为灰绿、深灰、黑灰色绢云千枚岩、粉砂质千枚岩及炭质绢云千枚岩等组成，夹1—2层条带状磁铁石英岩。矿层之下见有变玄武岩，矿层顶部含炭板岩中见有微古植物:Brocholaminaria, Laminarites等。本组岩性变化较大，在命名剖面西侧的分宜县松古家， 本组底部有厚达数十米的深灰、棕灰色凝灰质砾岩及凝灰质含砾千枚岩（古家砾岩）。往南至遂川—兴国以南，变为变余粗碎屑岩或砂砾岩，但不见含铁，炭等岩石。厚度约330m。[1] 下坊组接触关系与上覆老虎塘组连续沉积，与下伏上施组假整合接触。[1] 下坊组分布江西武功山一带。[1] ?下坊组备考撰:王自强作者：江西省地质局区域地质调查队年份：1965系名：新元古界"
休宁组,"休宁组，是以组为岩石地层单位的地层结构。李毓尧、许杰等1935年命名为休宁砂岩，1965年安徽地质局317队正式命名为休宁组。分为上中下三个部分，下部为灰绿色、紫红色中—厚层细粒砂岩及粉砂岩；中部为灰绿、灰白及灰紫等色细砂岩、泥质粉砂岩及泥岩夹粉砂岩；上部为灰绿、蓝绿及紫红色细砂岩、粉砂岩及粉砂质泥岩组成韵律层。该组不整合覆于上溪群之上，顶部与上覆冰碛层呈假整合接触。休宁组命名李毓尧、许杰等1935年命名为休宁砂岩，1965年安徽地质局317队正式命名为休宁组；命名剖面位于安徽休宁县兰田。休宁组沿革1935年李毓尧、许杰重赴兰田研究震旦纪地层时，创立了“休宁砂岩”，同年丁毅也创立了“高亭砂岩”。1964年钱义元等将原休宁砂岩划分为两部分，下部称一壶水砾岩组，上部称休宁组。1965年安徽317队在1∶20万安庆幅地质调查中将上述两组合并统称休宁组，沿用至今。休宁组特征休宁组构成下部灰绿色、紫红色中—厚层细粒砂岩及粉砂岩，底部砾岩及含砾长石石英砂岩，具交错层理，波状及平行层理，属海滩相沉积；中部灰绿、灰白及灰紫等色细砂岩、泥质粉砂岩及泥岩夹粉砂岩，细水平层理发育，砂岩中尚见交错层理及变形层理，属过渡带沉积；上部为灰绿、蓝绿及紫红色细砂岩、粉砂岩及粉砂质泥岩组成韵律层，含海绿石及黄铁矿、发育槽状、波状及包卷层理。含微古植物Trematosphaeridium minor, T. Holtedahlii, Polyporata obsoleta等。休宁组接触关系该组角度不整合覆于上溪群之上，顶部与上覆冰碛层呈假整合接触。总厚1398m。休宁组备考撰者：王自强作者1：李毓尧年份1：1935作者2：许杰年份2：1935系名：新元古界[1] "
牙拉古孜组,牙拉古孜组，是以组为岩石地层单位的地层结构。马士鹏、汪玉珍等于1979年命名。主要成分是肉红色巨厚层角斑岩质砾岩，长石砂岩凸镜体，肉红色中厚层长石砂岩，粉砂岩及粉砂质泥岩。主要分布在叶城县棋盘乡许沟、哈拉斯坦河及新藏公路两侧恰克马克立克沟及其以东的苏玛兰河等地。与下伏青白口系苏库洛克群为不整合，与上覆恰克马克立克群波龙组间为假整合接触。牙拉古孜组命名马士鹏、汪玉珍等于1979年命名。方锡廉1980年首次于《新疆地质》发表。其命名剖面位于新疆叶城县新藏公路恰克马克立克沟牙拉古孜一带。牙拉古孜组沿革本组最初为地质部十三大队胡冰等（1957）所命名的泥盆系奇兹那夫岩系。1977—1980年马士鹏等经调查发现上述“岩系”中有不整合及冰成岩存在，从而一分为二，将不整合面以下的地层进一步分为牙拉古孜组及恰克马克立克组等，并将时代改为震旦纪；不整合面以上的岩层仍保留奇兹那夫组（泥盆系）。牙拉古孜组特征牙拉古孜组构成下部为肉红色巨厚层角斑岩质砾岩，中有长石砂岩凸镜体，岩层中发育大型斜层理；中部以肉红色中厚层长石砂岩为主，夹粉砂岩及粉砂质泥岩，砂岩中具斜层理；上部亦为肉红色巨厚层角斑岩质中粗砾砾岩夹细砾岩。本组属山前类磨拉石建造。其厚度变化较大，在新藏公路一带（恰克马克立克）厚227.7m；西部哈拉斯坦河为124.9m；东部苏玛兰河仅厚 36.6m。牙拉古孜组接触关系与下伏青白口系苏库洛克群为不整合，与上覆恰克马克立克群波龙组间为假整合接触。牙拉古孜组分布本组主要分布在叶城县棋盘乡许沟、哈拉斯坦河及新藏公路两侧恰克马克立克沟及其以东的苏玛兰河等地。牙拉古孜组备考撰者：高振家作者1：马士鹏年份1：1979作者2：汪玉珍年份2：1979系名：新元古界[1] 
杨家桥群,
鹰扬关组,"鹰扬关组由冶金部地质研究所李自惠,1979年命名鹰扬关组基本信息地层名称：鹰扬关组地层名称（英文）：Yingyangguan Fm地层单位编码：06-45-0306地层地质年代：Z1鹰扬关组命名冶金部地质研究所李自惠,1979年。鹰扬关组特征层型：正层型:广西贺县下龙鹰扬关组剖面。[68]。特征：指整合于长安组与黎家坡组之间的一套地层。岩性为浅变质火山岩、钙泥质岩、泥质岩夹含铁矿层。分布：广西贺县鹰扬关地区,北延入湖南,东延入广东境内。鹰扬关组备考备注：同物异名：同物异名合桐组、拱桐组、富禄组。"
尤尔美那克组,"尤尔美那克组，是以组为岩石地层单位的地层结构。高振家等1981年命名。本组主体为一套较典型的大陆冰川堆积物（正冰碛岩）。主要为块状杂砾岩(冰碛砾岩)，夹有紫红色、灰绿色砂岩、粉砂岩、粉砂质板岩及板岩等薄夹层或分层。本组与下伏巧恩布拉克群为明显的不整合，超覆在巧恩布拉克群不同层位上；和上覆苏盖特布拉克组也为不整合。尤尔美那克组命名高振家等1981年命名。命名剖面位于新疆乌什县以南喀拉克兹尤尔美那克牧村以西，参考剖面位于苏盖特布拉克附近。尤尔美那克组沿革尤尔美那克组为地质部十三大队三、九中队张振华、高振家、王景斌等（1957）及新疆区域地层表（1977）等所建立的苏盖特布拉克组下部分层。经高振家等（1981、1982）研究发现了“苏盖特布拉克组”下部为一套典型的冰碛岩（杂砾岩），同时其顶部与上覆层之间有明显的沉积间断存在，从而单独建组，称喀拉克兹尤尔美那克组（高振家等，1981），由于当地居民习惯称喀拉克兹尤尔美那克牧村（居民点）为“尤尔美那克”。故本组亦改称尤尔美那克组。尤尔美那克组特征尤尔美那克组构成本组主体为一套较典型的大陆冰川堆积物(正冰碛岩)。主要为紫红色块状杂砾岩(冰碛砾岩)，夹有紫红色、灰绿色砂岩、粉砂岩、粉砂质板岩及板岩等薄夹层或分层，夹层中常见有坠石；本组底部常为一层巨砾砾岩，冰碛砾岩之砾石具擦痕、压坑、压裂，有的形态呈马鞍形、灯盏形等，胶结物为泥质；在剖面下部常有不稳定的灰绿色粉砂岩及砂岩。在胶结物及夹层中含微古植物：Trachysphaeridium planum, T. Incrassatum, Leiopsophosphaera densa, Asperatopsophosphaera umishanensis 等。尤尔美那克组接触关系本组与下伏巧恩布拉克群为明显的不整合，下覆层接触面保存有槽沟、擦痕、颤痕等清晰的基岩冰溜面；尤尔美那克组超覆在巧恩布拉克群不同层位上；和上覆苏盖特布拉克组也为不整合。苏盖特布拉克组不仅覆于本组冰碛岩的不同层位，亦可直接超覆于巧恩布拉克群直至超覆在更古老的阿克苏群绿片岩之上。本组上覆的苏盖特布拉克组下部曾获U－Pb法年龄740Ma(朱杰辰，1987)，故此冰碛岩与南沱冰碛之时代大体一致，属早震旦世晚期。尤尔美那克组分布尤尔美那克组分布局限，仅分布在阿克苏—乌什—柯坪之间的三角地带，以乌什南山及以南的喀拉克兹尤尔美那克至苏盖特布拉克、巧恩布拉克等地最为发育，向西逐渐变薄或尖灭，故其厚度变化甚剧，一般厚10—80余米。尤尔美那克组备考撰者：高振家作者1：高振家年份1：1981系名：新元古界[1] "
雨塘组,"雨塘组，是以组为岩石地层单位的地层结构。1989年马世鹏等命名。主要为粉砂质泥岩、泥岩（页岩）及泥质细粉砂岩和砂岩互层，上部还有含砾砂岩及一层10余米厚的海相至滨海相沉积夹海洋冰川沉积。该组下部与波龙组假整合接触；顶界与库尔卡克组亦为假整合。分布在叶城县西南许许沟到叶城县以南新藏公路西侧恰克马克立克沟、克里西沟以及皮山县以南等地。雨塘组命名马世鹏等1989年命名。命名剖面位于新疆叶城县新藏公路西侧的恰克马克立克沟和克里西沟。雨塘组沿革本组原为1979年马世鹏等所划分的恰克马克立克组上部分层，1989年马世鹏等在塔里木盆地西南缘铁克里克地区工作时，将原恰克马克立克组重新加以厘定，改称恰克马克立克群，并细分为三个组，自上而下为：雨塘组、克里西组和波龙组（冰碛岩）。后经江汉石油学院进行了大量的补充工作，界限略作修订。雨塘组特征雨塘组构成为一套暗色（以灰绿色、灰紫色及紫红色）及灰白色粉砂质泥岩、泥岩（页岩）及泥质细粉砂岩和砂岩互层，上部还有含砾砂岩及一层10余米厚的海相至滨海相沉积夹海洋冰川沉积。该组发现大量微古植物（计26属33种），其中以Baltisphaeridium sp., Micrhystridium sp., Dictyosphaera sp., Pseudodiacrodium sp., Fuchunshania cf. Rarojugata,Tasmanites sp., Monotrematosphaeridium asperum, Quadratimorpha sp.等为主。雨塘组接触关系该组下部与波龙组假整合接触；顶界与库尔卡克组亦为假整合。雨塘组分布本组岩性较稳定，分布在叶城县西南许许沟到叶城县以南新藏公路西侧恰克马克立克沟、克里西沟以及皮山县以南等地。厚741m。雨塘组备考撰者：高振家作者1：马世鹏年份1：1989系名：新元古界[1] "
照壁山组,"照壁山组，是以组为岩石地层单位的地层结构。1958年，地质部第十三大队第一、四、六中队朱诚顺等命名。上部为灰黑色粉砂质泥岩，砂板岩及灰色长石石英砂岩为主，夹砂砾岩凸镜体；下部主要为灰、灰白色层状石英砂岩，偶夹薄层砂砾岩或粉砂质泥岩。平行不整合于阿勒通沟组之下，整合于贝义西组之上。照壁山组命名1957年朱诚顺、叶永正等命名，高振家等（1980）介绍。命名剖面位于新疆尉犁县照壁山（黑山）地区，参考剖面在西山口及玉勒衮布拉克一带。照壁山组沿革1957年朱诚顺等在中库鲁克塔格照壁山地区将相当于E. Norin等在西库鲁克塔格所划分的贝义西统，阿勒通沟组等在中库鲁克塔格作了重新厘定，将相当贝义西组的一部分岩层命名为照壁山岩系，其层位含义大体相当于E.Norin所指的贝义西组。故此后曾一度被摒弃而用“贝义西组”代之（吴文奎，1960，高振家，1972，新疆地层表，1976）。1977—1978年高振家、朱诚顺等重新测制了该区层型剖面，将原“照壁山岩系”根据岩性及层序特征作了重新厘定，共分为两套岩性组合，下部仍用贝义西组，代表早期海相火山冰川（杂砾岩）沉积；上部间冰期滨海碎屑岩建造则沿用了照壁山岩系这一名称，改称照壁山组。重新厘定的照壁山组包括不整合或假整合在阿勒通沟组之下，整合于贝义西组之上的一套碎屑岩建造（高振家，1981）。照壁山组特征照壁山组构成本组主要为浅海相碎屑岩，薄—中层状为主。上部以灰、灰黑色及灰绿色泥板岩、粉砂岩质页岩为主，夹细砂岩并偶夹砂砾岩透镜体;下部为灰色中厚层状长石石英岩、粗砂岩，含砾砂岩夹泥板岩或细砂岩、粉砂岩。局部地区上部细碎屑岩相变为硅质岩或硅质粉砂岩。在细碎屑岩中产有微古植物:Asperatopsophosphaera bavlensis, A. Umishanensis, A. Gigatea, A. Incrassa, Trachysphaeridium sp., Pseudozonosphaera verrucosa等。在西库鲁克塔格西山口地区，本组底部灰绿色泥板岩中曾获U-Pb (753±30)Ma的全岩等时线年龄（朱杰辰等，1987）。其岩性、厚度均比较稳定，厚度一般在360—560m 左右，仅兴地塔格北坡坷斯坦布拉克到提克布拉大黄等地厚度变大，可达1192m 。照壁山组接触关系本组与下伏贝义西组多处显示为整合，或相变关系，当一些地区贝义西组火山岩十分发育时（如东库鲁克塔格、玉勒衮布拉克一带）则本组厚度变小。在兴地塔格以南的牙尔当山地区，贝义西组火山岩厚1407.8m，则上部照壁山组缺失，使阿勒通沟组直接不整合于贝义西组火山岩之上。照壁山组分布该组分布范围较广，西自库尔勒以北的喀拉帖肯乌拉山向东到西山口、阿勒通塔格并东延到尉犁县东北部的莫钦库都克、兴地塔格、照壁山、幸格尔塔格、直到鄯善县以南的叶特木布拉克、帕尔岗布拉克、玉勒衮布拉克等地。[1] 照壁山组备考撰者:高振家作者1：朱诚顺年份1：1957作者2：叶永正年份2：1957系名：新元古界"
